shop_id,shop_name,city_id
0,"Якутск Орджоникидзе, 56 фран",4
1,"Якутск ТЦ ""Центральный"" фран",4
2,"Адыгея ТЦ ""Мега""",17
3,"Балашиха ТРК ""Октябрь-Киномир""",6
4,"Волжский ТЦ ""Волга Молл""",18
5,"Вологда ТРЦ ""Мармелад""",15
6,"Воронеж (Плехановская, 13)",7
7,"Воронеж ТРЦ ""Максимир""",7
8,"Воронеж ТРЦ Сити-Парк ""Град""",7
9,Выездная Торговля,29
10,Жуковский ул. Чкалова 39м?,24
11,Жуковский ул. Чкалова 39м²,24
12,Интернет-магазин ЧС,26
13,"Казань ТЦ ""Бехетле""",27
14,"Казань ТЦ ""ПаркХаус"" II",27
15,"Калуга ТРЦ ""XXI век""",25
16,"Коломна ТЦ ""Рио""",21
17,"Красноярск ТЦ ""Взлетка Плаза""",16
18,"Красноярск ТЦ ""Июнь""",16
19,"Курск ТЦ ""Пушкинский""",1
20,"Москва ""Распродажа""",0
21,"Москва МТРЦ ""Афи Молл""",0
22,Москва Магазин С21,0
23,"Москва ТК ""Буденовский"" (пав.А2)",0
24,"Москва ТК ""Буденовский"" (пав.К7)",0
25,"Москва ТРК ""Атриум""",0
26,"Москва ТЦ ""Ареал"" (Беляево)",0
27,"Москва ТЦ ""МЕГА Белая Дача II""",0
28,"Москва ТЦ ""МЕГА Теплый Стан"" II",0
29,"Москва ТЦ ""Новый век"" (Новокосино)",0
30,"Москва ТЦ ""Перловский""",0
31,"Москва ТЦ ""Семеновский""",0
32,"Москва ТЦ ""Серебряный Дом""",0
33,"Мытищи ТРК ""XL-3""",8
34,"Н.Новгород ТРЦ ""РИО""",13
35,"Н.Новгород ТРЦ ""Фантастика""",13
36,"Новосибирск ТРЦ ""Галерея Новосибирск""",20
37,"Новосибирск ТЦ ""Мега""",20
38,"Омск ТЦ ""Мега""",12
39,"РостовНаДону ТРК ""Мегацентр Горизонт""",28
40,"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",28
41,"РостовНаДону ТЦ ""Мега""",28
42,"СПб ТК ""Невский Центр""",30
43,"СПб ТК ""Сенная""",30
44,"Самара ТЦ ""Мелодия""",3
45,"Самара ТЦ ""ПаркХаус""",3
46,"Сергиев Посад ТЦ ""7Я""",5
47,"Сургут ТРЦ ""Сити Молл""",9
48,"Томск ТРЦ ""Изумрудный Город""",19
49,"Тюмень ТРЦ ""Кристалл""",22
50,"Тюмень ТЦ ""Гудвин""",22
51,"Тюмень ТЦ ""Зеленый Берег""",22
52,"Уфа ТК ""Центральный""",11
53,"Уфа ТЦ ""Семья"" 2",11
54,"Химки ТЦ ""Мега""",23
55,Цифровой склад 1С-Онлайн,14
56,"Чехов ТРЦ ""Карнавал""",10
57,"Якутск Орджоникидзе, 56",4
58,"Якутск ТЦ ""Центральный""",4
59,"Ярославль ТЦ ""Альтаир""",2
